Телескоп,Location,ID,Широта (град),Долгота (град),Высота над уровнем моря (км),Широта (рад),Долгота (рад),X  (км),Y  (км),Z  (км),0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
Научный-2 ЭОП-1.3 2хVT-78e,Nauchny-2,10321,"44,739034","34,01149","0,59033","0,7808434475","0,593612484","3762,053298794","2538,6348147179","4467,2105313109",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 ЭОП-1.3 САНТЕЛ-250,Nauchny-2,10322,"44,739097","34,011631","0,59037","0,780844547","0,5936149449","3762,0429897845","2538,6413319932","4467,2155328618",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 ЭОП-1.3 ОРИ-40,Nauchny-2,10323,"44,739046","34,011562","0,59535","0,7808436569","0,5936137406","3762,0522863021","2538,6410117369","4467,215012097",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 ЭОП-1.4 2xVT-78e,Nauchny-2,10331,"44,739074","34,011796","0,59263","0,7808441456","0,5936178247","3762,0385011097","2538,6540702667","4467,2153079454",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 ЭОП-1.4 САНТЕЛ-250,Nauchny-2,10332,"44,73907","34,011881","0,59304","0,7808440758","0,5936193082","3762,0352357205","2538,6599892946","4467,2152807647",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 ЭОП-1.4 ОРИ-40,Nauchny-2,10333,"44,739061","34,011835","0,59484","0,7808439187","0,5936185054","3762,0389173227","2538,6580779443","4467,2158372617",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Чили HGB-500,Chile,10350,"-30,47113761","-70,76480392","1,573872","-0,5318216781","-1,2350788229","1813,0483730256","-5196,0861412329","-3216,2952958733",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Благовещенск ОРИ-25,Blagoveshchensk,10376,"50,12665988","127,7229475","0,1617125","0,8748752579","2,2291859642","-2506,8255971673","3240,7699446647","4871,957068034",28,22,19,17,19,19,10,11,9,9,8,10,14,16,15,17,20,21,21,17,21,10,18,23,28
Благовещенск ОРИ-22,Blagoveshchensk,10377,"50,1266473","127,7228482","0,1618833838","0,8748750384","2,2291842311","-2506,8207046531","3240,775225382","4871,9563020822",30,23,22,20,21,22,20,23,21,19,19,15,16,14,15,17,18,21,19,18,22,17,19,21,30
Мульта VT-78a,Multa,10400,"50,172107","85,954873","0,951","0,8756684598","1,500195542","288,7847332777","4083,5914431613","4875,802594733",26,25,20,10,8,14,14,13,12,10,15,11,12,15,16,15,14,13,10,8,7,10,20,25,26
